lon,lat,ele,time
19.045251,49.767436,671.7,2015-07-30T12:59:38Z
19.045281,49.767408,671.0,2015-07-30T12:59:43Z
19.045311,49.767386,670.5,2015-07-30T12:59:46Z
19.045338,49.767357,669.9,2015-07-30T12:59:49Z
19.04536,49.76733,669.3,2015-07-30T12:59:52Z
19.045388,49.767305,668.7,2015-07-30T12:59:56Z
19.045428,49.767281,668.3,2015-07-30T13:00:00Z
19.045453,49.767247,667.5,2015-07-30T13:00:03Z
19.045491,49.767221,667.1,2015-07-30T13:00:06Z
19.045529,49.767199,666.8,2015-07-30T13:00:09Z
19.04557,49.767187,666.8,2015-07-30T13:00:12Z
19.045615,49.767196,667.3,2015-07-30T13:00:16Z
19.045655,49.767186,667.3,2015-07-30T13:00:21Z
19.045701,49.767163,667.1,2015-07-30T13:00:24Z
19.045746,49.767147,667.1,2015-07-30T13:00:27Z
19.045795,49.767139,667.3,2015-07-30T13:00:30Z
19.045838,49.767124,667.3,2015-07-30T13:00:34Z
19.04588,49.767109,667.4,2015-07-30T13:00:38Z
19.045917,49.767122,667.9,2015-07-30T13:00:41Z
19.045967,49.767124,668.3,2015-07-30T13:00:44Z
19.045996,49.767104,668.2,2015-07-30T13:00:46Z
19.045994,49.767073,667.6,2015-07-30T13:00:49Z
19.045992,49.767045,666.7,2015-07-30T13:00:53Z
19.046031,49.767022,666.4,2015-07-30T13:00:56Z
19.046078,49.767009,666.5,2015-07-30T13:00:59Z
19.046131,49.767003,666.8,2015-07-30T13:01:02Z
19.046174,49.766987,666.8,2015-07-30T13:01:06Z
19.046181,49.766957,666.0,2015-07-30T13:01:10Z
19.046137,49.766955,665.6,2015-07-30T13:01:14Z
19.046113,49.766977,665.9,2015-07-30T13:01:19Z
19.046065,49.766976,665.5,2015-07-30T13:01:22Z
19.046023,49.766972,665.0,2015-07-30T13:01:24Z
19.04599,49.766945,663.9,2015-07-30T13:01:27Z
19.045953,49.766924,663.0,2015-07-30T13:01:31Z
19.045967,49.766893,662.2,2015-07-30T13:01:35Z
19.04601,49.766877,662.2,2015-07-30T13:01:38Z
19.046052,49.766868,662.3,2015-07-30T13:01:40Z
19.046102,49.766872,663.0,2015-07-30T13:01:42Z
19.046146,49.766875,663.5,2015-07-30T13:01:44Z
19.046194,49.766864,663.7,2015-07-30T13:01:47Z
19.046219,49.766837,663.2,2015-07-30T13:01:50Z
19.046242,49.766809,662.7,2015-07-30T13:01:54Z
19.046286,49.766778,661.9,2015-07-30T13:01:57Z
19.046321,49.766759,661.3,2015-07-30T13:01:59Z
19.046361,49.766748,660.9,2015-07-30T13:02:01Z
19.046424,49.766747,660.8,2015-07-30T13:02:04Z
19.046462,49.766763,661.2,2015-07-30T13:02:06Z
19.046511,49.766768,661.2,2015-07-30T13:02:09Z
19.046549,49.766783,661.6,2015-07-30T13:02:11Z
19.04659,49.766765,661.0,2015-07-30T13:02:14Z
19.046608,49.76674,660.2,2015-07-30T13:02:16Z
19.046628,49.766703,659.1,2015-07-30T13:02:19Z
19.046669,49.766717,659.4,2015-07-30T13:02:23Z
19.046709,49.766738,660.0,2015-07-30T13:02:25Z
19.046749,49.76676,660.5,2015-07-30T13:02:27Z
